Ratio,rowmean,nDistinct
Bacteroidaceae.Bacteroides___Enterobacteriaceae.,25.344094650343973,2
Bacteroidaceae.Bacteroides___Clostridiaceae.,22.256751907583812,3
Actinomycetaceae.Actinomyces___Bacteroidaceae.Bacteroides,20.9301587383448,4
Bifidobacteriaceae.___Enterococcaceae.Enterococcus,20.679740782739763,6
Enterobacteriaceae.Raoultella___Micrococcaceae.Rothia,20.020400735168536,8
Bacteroidaceae.Bacteroides___Clostridiaceae.Clostridium,18.963445924199174,11
Bacillaceae.Bacillus___Enterococcaceae.Enterococcus,17.24107624553452,15
Odoribacteraceae.Odoribacter___Peptostreptococcaceae.,15.279834590954394,29
Enterococcaceae.Enterococcus___Listeriaceae.Listeria,14.568477883847187,36
Bacteroidaceae.Bacteroides___Peptostreptococcaceae.Clostridium.,14.255934367083976,39
Erysipelotrichaceae.Holdemania___Peptostreptococcaceae.,13.922748254314108,41
Actinomycetaceae.Mobiluncus___Micrococcaceae.Rothia,13.740916782841936,43
Bacteroidaceae.Bacteroides___Erysipelotrichaceae.Eubacterium.,12.317063420896293,67
Bacteroidaceae.Bacteroides___Lachnospiraceae.Ruminococcus.,12.12102007449582,69
Coriobacteriaceae.Collinsella___Enterococcaceae.Enterococcus,11.197932220564656,79
Bacteroidaceae.Bacteroides___Enterobacteriaceae.Proteus,9.97633353945304,90
Bifidobacteriaceae.Bifidobacterium___Enterobacteriaceae.,9.923252010190177,91
Clostridiaceae.___Lachnospiraceae.Dorea,4.509545933731408,107
Alcaligenaceae.Sutterella___Lachnospiraceae.Blautia,4.430339488291708,108
