ID,Label
Cloacimonadaceae_W5,Cloacimonadaceae_W5
Paenibacillaceae_Paenibacillus,Paenibacillaceae_Paenibacillus
Halomonadaceae_g.,Halomonadaceae_g.
Yersiniaceae_g.,Yersiniaceae_g.
Comamonadaceae_Diaphorobacter,Comamonadaceae_Diaphorobacter
Comamonadaceae_g.,Comamonadaceae_g.
Actinomycetaceae_Actinomyces,Actinomycetaceae_Actinomyces
Erwiniaceae_Pantoea,Erwiniaceae_Pantoea
Pseudomonadaceae_Pseudomonas,Pseudomonadaceae_Pseudomonas
Lactobacillaceae_Lactobacillus,Lactobacillaceae_Lactobacillus
Chroococcidiopsaceae_Chroococcidiopsis,Chroococcidiopsaceae_Chroococcidiopsis
Micrococcaceae_Rothia,Micrococcaceae_Rothia
Beijerinckiaceae_Psychroglaciecola,Beijerinckiaceae_Psychroglaciecola
