Seed,auc,type,time
1,0.6588042588042587,all_logratios,month0
2,0.6879545004545005,all_logratios,month0
3,0.686534749034749,all_logratios,month0
4,0.6368824868824868,all_logratios,month0
5,0.5637592137592138,all_logratios,month0
6,0.5569205569205569,all_logratios,month0
7,0.6643140643140644,all_logratios,month0
8,0.6447783447783448,all_logratios,month0
9,0.6498186498186498,all_logratios,month0
10,0.6843814968814969,all_logratios,month0
11,0.7316776316776317,all_logratios,month0
12,0.6089987714987715,all_logratios,month0
13,0.6173218673218673,all_logratios,month0
14,0.6978910728910729,all_logratios,month0
15,0.5947749697749698,all_logratios,month0
16,0.6473146223146223,all_logratios,month0
17,0.531006006006006,all_logratios,month0
18,0.7793280293280294,all_logratios,month0
19,0.63995148995149,all_logratios,month0
20,0.7108195858195858,all_logratios,month0
1,0.8564905814905814,signature,month0
2,0.79751926001926,signature,month0
3,0.8064939939939939,signature,month0
4,0.8467830967830967,signature,month0
5,0.8355329355329355,signature,month0
6,0.8291154791154791,signature,month0
7,0.8515117765117766,signature,month0
8,0.8357987357987358,signature,month0
9,0.8151924651924652,signature,month0
10,0.8182172557172558,signature,month0
11,0.8243553743553743,signature,month0
12,0.8142301392301392,signature,month0
13,0.8583128583128583,signature,month0
14,0.8178132678132678,signature,month0
15,0.8225644475644476,signature,month0
16,0.8202907452907453,signature,month0
17,0.8292042042042042,signature,month0
18,0.8451698451698452,signature,month0
19,0.8261781011781012,signature,month0
20,0.8390517140517141,signature,month0
1,0.6666666666666666,all_logratios,month1
2,0.6158602150537634,all_logratios,month1
3,0.6179979518689196,all_logratios,month1
4,0.6922619047619047,all_logratios,month1
5,0.6314900153609831,all_logratios,month1
6,0.6589861751152074,all_logratios,month1
7,0.6866359447004609,all_logratios,month1
8,0.7015232974910394,all_logratios,month1
9,0.6438300051203277,all_logratios,month1
10,0.7518753200204813,all_logratios,month1
11,0.6016129032258064,all_logratios,month1
12,0.6919354838709677,all_logratios,month1
13,0.662916026625704,all_logratios,month1
14,0.6653353814644137,all_logratios,month1
15,0.6608038914490527,all_logratios,month1
16,0.6998079877112136,all_logratios,month1
17,0.6777777777777778,all_logratios,month1
18,0.660752688172043,all_logratios,month1
19,0.6254992319508448,all_logratios,month1
20,0.7548131080389145,all_logratios,month1
1,0.7697388632872504,signature,month1
2,0.7300179211469534,signature,month1
3,0.7335189452124936,signature,month1
4,0.7660714285714285,signature,month1
5,0.7508448540706605,signature,month1
6,0.7160522273425499,signature,month1
7,0.7723502304147466,signature,month1
8,0.7552355350742448,signature,month1
9,0.7716973886328725,signature,month1
10,0.6729198668714798,signature,month1
11,0.7329301075268817,signature,month1
12,0.7294930875576037,signature,month1
13,0.7787250384024578,signature,month1
14,0.773015873015873,signature,month1
15,0.7722286226318484,signature,month1
16,0.7888248847926267,signature,month1
17,0.7623143881208397,signature,month1
18,0.8019713261648745,signature,month1
19,0.8005184331797235,signature,month1
20,0.7921402969790067,signature,month1
1,0.8415032679738562,all_logratios,month2
2,0.8415966386554622,all_logratios,month2
3,0.8313725490196079,all_logratios,month2
4,0.7712418300653595,all_logratios,month2
5,0.7867413632119514,all_logratios,month2
6,0.7803921568627451,all_logratios,month2
7,0.7896358543417367,all_logratios,month2
8,0.8251633986928105,all_logratios,month2
9,0.8122549019607843,all_logratios,month2
10,0.7718954248366013,all_logratios,month2
11,0.8072829131652661,all_logratios,month2
12,0.7773576097105509,all_logratios,month2
13,0.7907096171802054,all_logratios,month2
14,0.7998599439775911,all_logratios,month2
15,0.8514705882352941,all_logratios,month2
16,0.8200280112044818,all_logratios,month2
17,0.8364612511671335,all_logratios,month2
18,0.8584967320261438,all_logratios,month2
19,0.7094771241830066,all_logratios,month2
20,0.7923202614379085,all_logratios,month2
1,0.8630718954248365,signature,month2
2,0.8581699346405229,signature,month2
3,0.9129084967320261,signature,month2
4,0.8630718954248366,signature,month2
5,0.9065359477124183,signature,month2
6,0.8689542483660131,signature,month2
7,0.8753501400560224,signature,month2
8,0.8872549019607843,signature,month2
9,0.9001633986928105,signature,month2
10,0.9094771241830065,signature,month2
11,0.8772642390289449,signature,month2
12,0.834873949579832,signature,month2
13,0.8512605042016806,signature,month2
14,0.8795518207282913,signature,month2
15,0.878921568627451,signature,month2
16,0.8721288515406163,signature,month2
17,0.8852941176470588,signature,month2
18,0.8741830065359477,signature,month2
19,0.8532679738562091,signature,month2
20,0.8717320261437909,signature,month2
